"No","Buyer","PO.Buyer","Style","Qty","End-Sewing.Date","Ex-Fact.Date","Week11-6","Week27-13","Week314-20","Week421-27","Week528-30","Week631-31","Total","FOB","Week","Amount","SO No","WO No","Branch","Factory","Tarikan","Source","Cost.Type"
"1","SHINATOMO CO .,LTD","A035245","TOYOTA MOTOR EAST NEW, B-1761","2000.00","2024-02-29","2024-04-22","0","0","0","2000.00","0","0","2000","3.20","W4","6400","23001540","181851","1201","CNJ2","","Schedule","CMT"
"2","MARUBENI FASHION LINK LTD.","","NISHIMATSUYA, S#EC24AH28106","1875.00","2024-04-24","2024-04-22","0","0","0","1875.00","0","0","1875","2.49","W4","4668.75","23001640","181873","1201","CVA","","Schedule","FOB"
"3","MARUBENI FASHION LINK LTD.","","NISHIMATSUYA, S#EC24AH58106","3750.00","2024-05-07","2024-04-22","0","0","0","3750.00","0","0","3750","2.84","W4","10650","23001641","181874","1201","CVA","","Schedule","FOB"
"4","H&M","729822-7987","HNM BOXER, UY","200.00","2024-03-20","2024-04-22","0","0","0","200.00","0","0","200","7.35","W4","294","24001209","182273","1204","CNJ2","","Schedule","FOB"
"5","SHINATOMO CO .,LTD","A035245","TOYOTA MOTOR EAST NEW, B-1761","1000.00","2024-02-29","2024-04-22","0","0","0","1000.00","0","0","1000","3.20","W4","3200","23001540","181851","1201","CNJ2","","Schedule","CMT"
"6","MARUBENI FASHION LINK LTD.","","NISHIMATSUYA, S#EC24AH28106","1875.00","2024-04-24","2024-04-22","0","0","0","1875.00","0","0","1875","2.49","W4","4668.75","23001640","181873","1201","CVA","","Schedule","FOB"
"7","MARUBENI FASHION LINK LTD.","","NISHIMATSUYA, S#EC24AH58106","3750.00","2024-05-07","2024-04-22","0","0","0","3750.00","0","0","3750","2.84","W4","10650","23001641","181874","1201","CVA","","Schedule","FOB"
"8","MARUBENI FASHION LINK LTD.","","NISHIMATSUYA, EC24AH58141","7500.00","2024-04-25","2024-04-22","0","0","0","7500.00","0","0","7500","1.29","W4","9675","23001627","181872","1201","CVA","","Schedule","FOB"
"9","MARUBENI FASHION LINK LTD.","","NISHIMATSUYA, EC24AH54141","7500.00","2024-04-22","2024-04-22","0","0","0","7500.00","0","0","7500","1.10","W4","8250","23001625","181870","1201","CVA","","Schedule","FOB"
"10","MARUBENI FASHION LINK LTD.","","NISHIMATSUYA, S#EC24AH28106","1875.00","2024-04-23","2024-04-22","0","0","0","1875.00","0","0","1875","2.49","W4","4668.75","23001640","181873","1201","CVA","","Schedule","FOB"
"11","MARUBENI FASHION LINK LTD.","","NISHIMATSUYA, S#EC24AH28106","1875.00","2024-04-24","2024-04-22","0","0","0","1875.00","0","0","1875","2.49","W4","4668.75","23001640","181873","1201","CVA","","Schedule","FOB"
"12","EIGERINDO MULTI PRODUK INDUSTRI, PT.","","EIGER, 910009476","2400.00","2024-04-05","2024-04-24","0","0","0","2400.00","0","0","2400","7.13","W4","17112","23001347","181906","1205","CHW","","Schedule","FOB"
"13","EIGERINDO MULTI PRODUK INDUSTRI, PT.","","EIGER, 910008679","2000.00","2024-03-28","2024-04-24","0","0","0","2000.00","0","0","2000","5.55","W4","11100","23001135","181581","1205","CHW","","Schedule","FOB"
"14","MARUBENI CORPORATION JEPANG","BP1070","KAZEN-S# 133-93","2830.00","2024-03-05","2024-04-26","0","0","0","2830.00","0","0","2830","1.65","W4","4669.5","23001590","181752","1201","CNJ2","","Schedule","CMTP"
"15","MARUBENI CORPORATION JEPANG","BP1070","KAZEN-S# 133-95","1860.00","2024-02-20","2024-04-26","0","0","0","1860.00","0","0","1860","1.65","W4","3069","23001591","181753","1201","CNJ2","","Schedule","CMTP"
"16","MARUBENI CORPORATION JEPANG","BP1070","KAZEN-S# 133-97","1710.00","2024-04-29","2024-04-26","0","0","0","1710.00","0","0","1710","1.65","W4","2821.5","23001592","181754","1201","CNJ2","","Schedule","CMTP"
"17","MARUBENI CORPORATION JEPANG","BP1070","KAZEN-S# 155-95","1600.00","2024-02-21","2024-04-26","0","0","0","1600.00","0","0","1600","1.6","W4","2560","23001596","181759","1201","CNJ2","","Schedule","CMTP"
"18","MARUBENI CORPORATION JEPANG","BP1070","KAZEN-S# 155-99","2680.00","2024-02-24","2024-04-26","0","0","0","2680.00","0","0","2680","1.6","W4","4288","23001599","181763","1201","CNJ2","","Schedule","CMTP"
"19","MARUBENI CORPORATION JEPANG","BP1070","KAZEN-S# 155-97","900.00","2024-02-20","2024-04-26","0","0","0","900.00","0","0","900","1.6","W4","1440","23001597","181795","1201","CNJ2","","Schedule","CMTP"
"20","MARUBENI CORPORATION JEPANG","BP1089","KAZEN-S# KZN392-80","2100.00","2024-01-23","2024-04-26","0","0","0","2100.00","0","0","2100","0.35","W4","735","23001582","181765","1201","CNJ2","","Schedule","CMTP"
