No,Buyer,PO.Buyer,Style,Qty,End-Sewing.Date,Ex-Fact.Date,Week11-7,Week28-14,Week315-21,Week422-28,Week529-31,Week6,Total,FOB,Week,Amount,SO No,WO No,Branch,Factory,Tarikan,Source,Cost.Type
1,MARUBENI FASHION LINK LTD.,,"NISHIMATSUYA, EC25HA24449N",10500,10/22/2024,12/02/2024,10500,0,0,0,0,0,10500,0.98,W1,10290,24001206,183301,1201,CVA,,Schedule,FOB
2,MARUBENI FASHION LINK LTD.,,"NISHIMATSUYA, EC25HA24449N",10500,10/09/2024,12/02/2024,10500,0,0,0,0,0,10500,0.98,W1,10290,24001206,183301,1201,CVA,,Schedule,FOB
3,MARUBENI FASHION LINK LTD.,,"NISHIMATSUYA, EC25HA24440N",16250,10/19/2024,12/02/2024,16250,0,0,0,0,0,16250,1,W1,16250,24001204,183303,1201,CVA,,Schedule,FOB
4,MARUBENI FASHION LINK LTD.,,"NISHIMATSUYA, EC25HA24440N",16250,10/19/2024,12/02/2024,16250,0,0,0,0,0,16250,1,W1,16250,24001204,183303,1201,CVA,,Schedule,FOB
5,MARUBENI FASHION LINK LTD.,,"NISHIMATSUYA, EC25HA54407",3750,10/28/2024,12/02/2024,3750,0,0,0,0,0,3750,1.3,W1,4875,24001201,183308,1201,CVA2,,Schedule,FOB
6,MARUBENI FASHION LINK LTD.,,"NISHIMATSUYA, EC25HA54407",3750,10/28/2024,12/02/2024,3750,0,0,0,0,0,3750,1.3,W1,4875,24001201,183308,1201,CVA2,,Schedule,FOB
7,MARUBENI FASHION LINK LTD.,,"NISHIMATSUYA, EC25HA28407",9500,10/23/2024,12/02/2024,9500,0,0,0,0,0,9500,1.5,W1,14250,24001202,183309,1201,CVA2,,Schedule,FOB
8,MARUBENI FASHION LINK LTD.,,"NISHIMATSUYA, EC25HA28407",9500,10/23/2024,12/02/2024,9500,0,0,0,0,0,9500,1.5,W1,14250,24001202,183309,1201,CVA2,,Schedule,FOB
9,MARUBENI FASHION LINK LTD.,,"NISHIMATSUYA, EC25HA24449N",10000,10/11/2024,12/02/2024,10000,0,0,0,0,0,10000,0.98,W1,9800,24001206,183301,1201,CVA2,,Schedule,FOB
10,MARUBENI FASHION LINK LTD.,,"NISHIMATSUYA, EC25HA24449N",10000,10/11/2024,12/02/2024,10000,0,0,0,0,0,10000,0.98,W1,9800,24001206,183301,1201,CVA2,,Schedule,FOB
11,MARUBENI FASHION LINK LTD.,,"NISHIMATSUYA, 25M-ASSB710",3000,01/18/2025,12/02/2024,3000,0,0,0,0,0,3000,1.18,W1,3540,24001396,184110,1201,CVA,,Schedule,FOB
12,MARUBENI FASHION LINK LTD.,,"NISHIMATSUYA, 25M-ASSB710",3000,01/17/2025,12/02/2024,3000,0,0,0,0,0,3000,1.18,W1,3540,24001396,184110,1201,CVA,,Schedule,FOB
13,MARUBENI FASHION LINK LTD.,,"NISHIMATSUYA, 25M-ASSB711",3000,01/24/2025,12/02/2024,3000,0,0,0,0,0,3000,1.18,W1,3540,24001397,184112,1201,CVA,,Schedule,FOB
14,MARUBENI FASHION LINK LTD.,,"NISHIMATSUYA, 25M-ASSB711",3000,01/23/2025,12/02/2024,3000,0,0,0,0,0,3000,1.18,W1,3540,24001397,184112,1201,CVA,,Schedule,FOB
15,MARUBENI FASHION LINK LTD.,,"NISHIMATSUYA, 25M-MGTS323",2350,01/29/2025,12/02/2024,2350,0,0,0,0,0,2350,1.3,W1,3055,24001409,184126,1201,CVA,,Schedule,FOB
16,MARUBENI FASHION LINK LTD.,,"NISHIMATSUYA, 25M-MGTS323",2350,01/28/2025,12/02/2024,2350,0,0,0,0,0,2350,1.3,W1,3055,24001409,184126,1201,CVA,,Schedule,FOB
17,MARUBENI FASHION LINK LTD.,,"NISHIMATSUYA, 25M-ASSC858",2300,01/20/2025,12/02/2024,2300,0,0,0,0,0,2300,1.42,W1,3266,24001411,184128,1201,CVA,,Schedule,FOB
18,MARUBENI FASHION LINK LTD.,,"NISHIMATSUYA, 25M-ASSC858",2300,01/27/2025,12/02/2024,2300,0,0,0,0,0,2300,1.42,W1,3266,24001411,184128,1201,CVA,,Schedule,FOB
19,MARUBENI FASHION LINK LTD.,,"NISHIMATSUYA, 25M-MGTS324",1900,01/03/2025,12/02/2024,1900,0,0,0,0,0,1900,1.42,W1,2698,24001410,184127,1201,CVA,,Schedule,FOB
