Ship To	Currency	Item Number	Quantity Order	Tr. UoM	Description 2	Harga	Pu. UoM	Ln Ty	Tax Y/N	Expl Code	Tax Rate/Area	PO Number	No Surat Jalan	Receipt Date	Receipt Document	TOTAL AMOUNT	STATUS PROSES BY RPA	INPUT DATE
1201		CRPANMCUCPANTS COS/M	1940	PC		49650		J		1201.630600		24001081	1818	11/2/2024	24005283	96321000	DIAJUKAN	12/20/2024 1:55:06 PM
1201		CRPANMCUCPANTS COS/M	1335	PC		49650		J		1201.630600		24001081	1818	11/2/2024	24005283	66282750	DIAJUKAN	12/20/2024 1:55:06 PM
1205		SHIRTEIGSHIRT     /M	835	PC		49200		J		1205.630600		24001084	1819	11/2/2024	24005814	41082000	DIAJUKAN	12/20/2024 1:55:06 PM
1205		SHIRTEIGSHIRT     /M	114	PC		49200		J		1205.630600		24001084	1819	11/2/2024	24005814	5608800	DIAJUKAN	12/20/2024 1:55:06 PM
1205		SHIRTEIGSHIRT     /M	1	PC		46350		J		1205.630600		24001084	1820	11/2/2024	24005814	46350	DIAJUKAN	12/20/2024 1:55:06 PM
1201		BLSONMCUBLOUSON   /M	1	PC		66750		J		1201.630600		24001106	1810	11/6/2024	24005292	66750	DIAJUKAN	12/20/2024 1:55:06 PM
1201		BLSONMCUBLOUSON   /M	1	PC		66000		J		1201.630600		24001106	1810	11/6/2024	24005292	66000	DIAJUKAN	12/20/2024 1:55:06 PM
1205		SHIRTEIGSHIRT     /M	162	PC		49200		J		1205.630600		24001084	1811	11/7/2024	24005814	7970400	DIAJUKAN	12/20/2024 1:55:06 PM
1205		SHIRTEIGSHIRT     /M	615	PC		49200		J		1205.630600		24001084	1811	11/7/2024	24005814	30258000	DIAJUKAN	12/20/2024 1:55:06 PM
1205		SHIRTEIGSHIRT     /M	39	PC		46350		J		1205.630600		24001084	1812	11/7/2024	24005814	1807650	DIAJUKAN	12/20/2024 1:55:06 PM
1205		SHIRTEIGSHIRT     /M	408	PC		46350		J		1205.630600		24001084	1812	11/7/2024	24005814	18910800	DIAJUKAN	12/20/2024 1:55:06 PM
1205		JCT  EIGJACKET    /M	8	PC		49350		J		1205.630600		24001084	1813	11/7/2024	24005814	394800	DIAJUKAN	12/20/2024 1:55:06 PM
1205		JCT  EIGJACKET    /M	5	PC		49350		J		1205.630600		24001084	1813	11/7/2024	24005814	246750	DIAJUKAN	12/20/2024 1:55:06 PM
1205		SHIRTEIGSHIRT     /M	35	PC		64650		J		1205.630600		24001084	1814	11/7/2024	24005814	2262750	DIAJUKAN	12/20/2024 1:55:06 PM
1205		SHIRTEIGSHIRT     /M	149	PC		64650		J		1205.630600		24001084	1814	11/7/2024	24005814	9632850	DIAJUKAN	12/20/2024 1:55:06 PM
1201		SCRUBMCUPANT SCRUB/M	1480	PC		22350		J		1201.630600		24001080	1822	11/20/2024	24005282	33078000	DIAJUKAN	12/20/2024 1:55:06 PM
1201		SCRUBMCUPANT SCRUB/M	410	PC		22350		J		1201.630600		24001080	1823	11/20/2024	24005282	9163500	DIAJUKAN	12/20/2024 1:55:06 PM
1201		SCRUBMCUPANT SCRUB/M	1740	PC		22350		J		1201.630600		24001080	1824	11/20/2024	24005282	38889000	DIAJUKAN	12/20/2024 1:55:06 PM
1201		SCRUBMCUTOP SCRUB /M	2290	PC		23100		J		1201.630600		24001080	1825	11/23/2024	24005282	52899000	DIAJUKAN	12/20/2024 1:55:06 PM
1201		BLSONMIXBLOUSON   /M	1	PC		52500		J		1201.630600		24001095	1821	11/13/2024	24005289	52500	DIAJUKAN	12/20/2024 1:55:06 PM
1201		SCRUBMCUPANT SCRUB/M	31	PC		22350		J		1201.630600		24001080	1826	11/25/2024	24005282	692850	DIAJUKAN	12/20/2024 1:55:06 PM
1201		SCRUBMCUPANT SCRUB/M	12	PC		22350		J		1201.630600		24001080	1827	11/25/2024	24005282	268200	DIAJUKAN	12/20/2024 1:55:06 PM
Ship To	Currency	Item Number	Quantity Order	Tr. UoM	Description 2	Harga	Pu. UoM	Ln Ty	Tax Y/N	Expl Code	Tax Rate/Area	PO Number	No Surat Jalan	Receipt Date	Receipt Document	TOTAL AMOUNT	STATUS PROSES BY RPA	INPUT DATE
1201		CRPANMCUCPANTS COS/M	1940	PC		49650		J		1201.630600		24001081	1818	11/2/2024	24005283	96321000	DIAJUKAN	12/20/2024 2:07:53 PM
1201		CRPANMCUCPANTS COS/M	1335	PC		49650		J		1201.630600		24001081	1818	11/2/2024	24005283	66282750	DIAJUKAN	12/20/2024 2:07:53 PM
1205		SHIRTEIGSHIRT     /M	835	PC		49200		J		1205.630600		24001084	1819	11/2/2024	24005814	41082000	DIAJUKAN	12/20/2024 2:07:53 PM
1205		SHIRTEIGSHIRT     /M	114	PC		49200		J		1205.630600		24001084	1819	11/2/2024	24005814	5608800	DIAJUKAN	12/20/2024 2:07:53 PM
