No,Buyer,PO.Buyer,Style,Qty,End-Sewing.Date,Ex-Fact.Date,Week11-2,Week23-9,Week310-16,Week417-23,Week524-30,Week6,Total,FOB,Week,Amount,SO No,WO No,Branch,Factory,Tarikan,Source,Cost.Type
1,"AGRON, INC.",147155,"ADIDAS BRF, 5158615",7812,2/28/2024,3/1/2024,7812,0,0,0,0,0,7812,5.42,W1,14113.68,23002385,181724,1204,MJ2,,Schedule,FOB
2,"AGRON, INC.",147155,"ADIDAS BRF, 5158615",7812,2/28/2024,3/1/2024,7812,0,0,0,0,0,7812,5.42,W1,14113.68,23002385,181724,1204,MJ2,,Schedule,FOB
3,"AGRON, INC.",147155,"ADIDAS BRF, 5158615XXL",1500,2/29/2024,3/1/2024,1500,0,0,0,0,0,1500,5.83,W1,2915,23002386,181725,1204,MJ2,,Schedule,FOB
4,"AGRON, INC.",147156,"ADIDAS BRF, 5158609",16560,2/23/2024,3/1/2024,16560,0,0,0,0,0,16560,5.59,W1,23142.6,23002404,181743,1204,MJ1,,Schedule,FOB
5,"AGRON, INC.",147155,"ADIDAS BRF, 5158615XXL",1500,2/29/2024,3/1/2024,1500,0,0,0,0,0,1500,5.83,W1,2915,23002386,181725,1204,MJ2,,Schedule,FOB
6,"AGRON, INC.",147156,"ADIDAS BRF, 5158609",16560,2/23/2024,3/1/2024,16560,0,0,0,0,0,16560,5.59,W1,23142.6,23002404,181743,1204,MJ1,,Schedule,FOB
7,"AGRON, INC.",147156,"ADIDAS BRF, 5158582",10000,2/28/2024,3/1/2024,10000,0,0,0,0,0,10000,5.76,W1,14400,23002405,181744,1204,MJ1,,Schedule,FOB
8,"AGRON, INC.",147156,"ADIDAS BRF, 5158582",10000,2/29/2024,3/1/2024,10000,0,0,0,0,0,10000,5.76,W1,14400,23002405,181744,1204,MJ1,,Schedule,FOB
9,"AGRON, INC.",147156,"ADIDAS BRF, 5158613",2880,3/1/2024,3/1/2024,2880,0,0,0,0,0,2880,5.76,W1,4147.2,23002406,181745,1204,MJ1,,Schedule,FOB
10,"AGRON, INC.",147257C,"ADIDAS BRF, 5158043",3324,2/23/2024,3/1/2024,3324,0,0,0,0,0,3324,4.99,W1,5528.92,23002580,182002,1204,MJ2,,Schedule,FOB
11,"AGRON, INC.",147156,"ADIDAS BRF, 5158613",2880,2/29/2024,3/1/2024,2880,0,0,0,0,0,2880,5.76,W1,4147.2,23002406,181745,1204,MJ1,,Schedule,FOB
12,"AGRON, INC.",147156,"ADIDAS BRF, 5158617",2880,2/22/2024,3/1/2024,2880,0,0,0,0,0,2880,5.59,W1,4024.8,23002401,181740,1204,MJ1,,Schedule,FOB
13,"AGRON, INC.",147257C,"ADIDAS BRF, 5158043",3324,2/23/2024,3/1/2024,3324,0,0,0,0,0,3324,4.99,W1,5528.92,23002580,182002,1204,MJ2,,Schedule,FOB
14,"AGRON, INC.",147156,"ADIDAS BRF, 5158617",2880,2/22/2024,3/1/2024,2880,0,0,0,0,0,2880,5.59,W1,4024.8,23002401,181740,1204,MJ1,,Schedule,FOB
15,"AGRON, INC.",147156,"ADIDAS BRF, 5158608",2880,2/19/2024,3/1/2024,2880,0,0,0,0,0,2880,5.59,W1,4024.8,23002402,181741,1204,MJ1,,Schedule,FOB
16,"AGRON, INC.",147156,"ADIDAS BRF, 5158608",2880,2/23/2024,3/1/2024,2880,0,0,0,0,0,2880,5.59,W1,4024.8,23002402,181741,1204,MJ1,,Schedule,FOB
17,"AGRON, INC.",147156,"ADIDAS BRF, 5158598",2880,2/23/2024,3/1/2024,2880,0,0,0,0,0,2880,5.59,W1,4024.8,23002403,181742,1204,MJ1,,Schedule,FOB
18,"AGRON, INC.",147156,"ADIDAS BRF, 5158591",5000,3/19/2024,3/1/2024,5000,0,0,0,0,0,5000,5.76,W1,7200,23002407,181746,1204,MJ2,,Schedule,FOB
19,"AGRON, INC.",147156,"ADIDAS BRF, 5158591",5000,3/19/2024,3/1/2024,5000,0,0,0,0,0,5000,5.76,W1,7200,23002407,181746,1204,MJ2,,Schedule,FOB
20,"AGRON, INC.",147156,"ADIDAS BRF, 5158591",5000,3/21/2024,3/1/2024,5000,0,0,0,0,0,5000,5.76,W1,7200,23002407,181746,1204,MJ2,,Schedule,FOB
21,"AGRON, INC.",147156,"ADIDAS BRF, 5158591",5000,3/21/2024,3/1/2024,5000,0,0,0,0,0,5000,5.76,W1,7200,23002407,181746,1204,MJ2,,Schedule,FOB
